date,daily_confirmed,total_confirmed,daily_deceased,total_deceased,daily_recovered,total_recovered,daily_tested,total_tested,daily_vaccinated1,total_vaccinated1,daily_vaccinated2,total_vaccinated2
1/30/2020,1,1,0,0,0,0,0,0,0,0,0,0
2/2/2020,1,2,0,0,0,0,0,0,0,0,0,0
2/3/2020,1,3,0,0,0,0,0,0,0,0,0,0
2/14/2020,0,3,0,0,3,3,0,0,0,0,0,0
3/2/2020,2,5,0,0,0,3,0,0,0,0,0,0
3/3/2020,1,6,0,0,0,3,0,0,0,0,0,0
3/4/2020,22,28,0,0,0,3,0,0,0,0,0,0
3/5/2020,2,30,0,0,0,3,0,0,0,0,0,0
3/6/2020,1,31,0,0,0,3,0,0,0,0,0,0
3/7/2020,3,34,0,0,0,3,0,0,0,0,0,0
3/8/2020,5,39,0,0,0,3,0,0,0,0,0,0
3/9/2020,9,48,0,0,0,3,0,0,0,0,0,0
3/10/2020,15,63,0,0,0,3,0,0,0,0,0,0
3/11/2020,8,71,0,0,0,3,0,0,0,0,0,0
3/12/2020,10,81,0,0,0,3,0,0,0,0,0,0
3/13/2020,10,91,1,1,0,3,0,0,0,0,0,0
3/14/2020,11,102,0,1,0,3,0,0,0,0,0,0
3/15/2020,10,112,0,1,0,3,0,0,0,0,0,0
3/16/2020,14,126,0,1,0,3,0,0,0,0,0,0
3/17/2020,20,146,0,1,0,3,0,0,0,0,0,0
3/18/2020,25,171,0,1,0,3,0,0,0,0,0,0
3/19/2020,27,198,0,1,0,3,0,0,0,0,0,0
3/20/2020,58,256,0,1,1,4,0,0,0,0,0,0
3/21/2020,78,334,0,1,0,4,0,0,0,0,0,0
3/22/2020,69,403,0,1,0,4,0,0,0,0,0,0
3/23/2020,94,497,0,1,0,4,0,0,0,0,0,0
3/24/2020,74,571,0,1,2,6,0,0,0,0,0,0
3/25/2020,86,657,0,1,0,6,0,0,0,0,0,0
3/26/2020,73,730,1,2,0,6,0,0,0,0,0,0
3/27/2020,153,883,1,3,2,8,0,0,0,0,0,0
3/28/2020,136,1019,0,3,0,8,0,0,0,0,0,0
3/29/2020,120,1139,25,28,91,99,0,0,0,0,0,0
3/30/2020,187,1326,13,41,42,141,0,0,0,0,0,0
3/31/2020,309,1635,6,47,19,160,0,0,0,0,0,0
4/1/2020,424,2059,11,58,9,169,11245,11245,0,0,0,0
4/2/2020,486,2545,11,69,22,191,6941,18186,0,0,0,0
4/3/2020,560,3105,14,83,39,230,11674,29860,0,0,0,0
4/4/2020,579,3684,13,96,56,286,988,30848,0,0,0,0
4/5/2020,609,4293,22,118,43,329,27589,58437,0,0,0,0
4/6/2020,484,4777,16,134,65,394,2427,60864,0,0,0,0
4/7/2020,573,5350,27,161,75,469,33877,94741,0,0,0,0
4/8/2020,565,5915,20,181,96,565,10540,105281,0,0,0,0
4/9/2020,813,6728,46,227,70,635,12584,117865,0,0,0,0
4/10/2020,871,7599,22,249,151,786,37915,155780,0,0,0,0
4/11/2020,854,8453,41,290,186,972,16229,172009,0,0,0,0
4/12/2020,758,9211,42,332,114,1086,20069,192078,0,0,0,0
4/13/2020,1243,10454,27,359,112,1198,21939,214017,0,0,0,0
4/14/2020,1031,11485,37,396,167,1365,21619,235636,0,0,0,0
4/15/2020,886,12371,27,423,144,1509,28386,264022,0,0,0,0
4/16/2020,1061,13432,26,449,258,1767,38777,302799,0,0,0,0
4/17/2020,922,14354,38,487,273,2040,32811,335610,0,0,0,0
4/18/2020,1371,15725,35,522,426,2466,31697,367307,0,0,0,0
4/19/2020,1580,17305,38,560,388,2854,59487,426794,0,0,0,0
4/20/2020,1239,18544,33,593,419,3273,38964,465758,0,0,0,0
4/21/2020,1537,20081,53,646,703,3976,41410,507168,0,0,0,0
4/22/2020,1292,21373,36,682,394,4370,47049,554217,0,0,0,0
4/23/2020,1667,23040,40,722,642,5012,47635,601852,0,0,0,0
4/24/2020,1408,24448,59,781,484,5496,58409,660261,0,0,0,0
4/25/2020,1835,26283,44,825,442,5938,50339,710600,0,0,0,0
4/26/2020,1607,27890,56,881,585,6523,48444,759044,0,0,0,0
4/27/2020,1568,29458,58,939,580,7103,53903,812947,0,0,0,0
4/28/2020,1902,31360,69,1008,636,7739,57853,870800,0,0,0,0
4/29/2020,1705,33065,71,1079,690,8429,64183,934983,0,0,0,0
4/30/2020,1802,34867,75,1154,630,9059,68269,1003252,0,0,0,0
5/1/2020,2396,37263,77,1231,962,10021,66528,1069780,0,0,0,0
5/2/2020,2564,39827,92,1323,831,10852,74802,1144582,0,0,0,0
5/3/2020,2952,42779,140,1463,911,11763,77044,1221626,0,0,0,0
5/4/2020,3656,46435,103,1566,1082,12845,76993,1298619,0,0,0,0
5/5/2020,2971,49406,128,1694,1295,14140,75991,1374610,0,0,0,0
5/6/2020,3602,53008,91,1785,1161,15301,69480,1444090,0,0,0,0
5/7/2020,3344,56352,104,1889,1475,16776,81246,1525336,0,0,0,0
5/8/2020,3339,59691,97,1986,1111,17887,84185,1609521,0,0,0,0
5/9/2020,3175,62866,116,2102,1414,19301,85252,1694773,0,0,0,0
5/10/2020,4311,67177,112,2214,1669,20970,96377,1791150,0,0,0,0
5/11/2020,3592,70769,81,2295,1579,22549,66622,1857772,0,0,0,0
5/12/2020,3562,74331,120,2415,1905,24454,89677,1947449,0,0,0,0
5/13/2020,3726,78057,137,2552,1963,26417,94826,2042275,0,0,0,0
5/14/2020,3991,82048,97,2649,1594,28011,102864,2145139,0,0,0,0
