district,state,POPULATION ,date,dose_1,dose_2,confirmed,deceased,recovered,tested
Nuapada,OR,606490,17/05/20,402248,129685,22924,84,22803,310
Boudh,OR,439917,17/05/20,259325,92297,12634,112,12488,496
Lahaul and Spiti,HP,31528,31/10/20,31920,20986,2953,18,2935,540
Rayagada,OR,961959,17/05/20,549767,184420,20224,167,19981,578
Deogarh,OR,312164,17/05/20,223405,63727,6553,50,6460,682
Gajapati,OR,575880,17/05/20,288963,115535,9657,84,9555,715
Narayanpur,CT,140206,14/06/20,53032,19468,4019,14,4005,804
Kiphire,NL,74033,11/12/20,13017,8141,258,9,246,1002
Nayagarh,OR,962215,17/05/20,593612,222606,23505,212,23261,1104
Dakshin Bastar Dantewada,CT,533638,14/06/20,158243,80855,10840,25,10809,1168
Longleng,NL,50593,11/12/20,20577,15446,307,2,286,1193
Bijapur,CT,229832,14/06/20,103247,44245,8324,55,8263,1239
Kamle,AR,22256,28/01/21,6946,3874,512,0,512,1385
Wokha,NL,166239,11/12/20,35138,23577,402,11,361,1390
Koraput,OR,1376934,17/05/20,860773,399063,19137,78,19044,1401
Kalahandi,OR,1573054,17/05/20,921185,304778,24314,210,24082,1458
Dhamtari,CT,799199,14/06/20,509782,224591,27239,545,26690,1501
Kandhamal,OR,731952,17/05/20,384009,150737,11537,83,11453,1516
Kondagaon,CT,578326,14/06/20,317695,100468,13139,99,13036,1607
Jharsuguda,OR,579499,17/05/20,399523,189682,23863,176,23673,1663
Sukma,CT,249000,14/06/20,134654,81437,8066,20,8041,1723
Surajpur,CT,660280,14/06/20,419247,163526,29029,224,28805,1830
Malkangiri,OR,612727,17/05/20,391790,137925,11667,49,11613,1841
Upper Dibang Valley,AR,7948,28/01/21,4156,2603,337,2,335,1910
Sambalpur,OR,1044410,17/05/20,768989,418110,31651,240,31315,2007
Uttar Bastar Kanker,CT,748593,14/06/20,405744,171484,23636,224,23407,2051
Gariaband,CT,597653,14/06/20,293987,99137,19701,194,19506,2096
Zunheboto,NL,141014,11/12/20,38077,22337,623,15,593,2131
Shi Yomi,AR,13310,28/01/21,6910,5663,262,0,261,2169
Mahasamund,CT,1032275,14/06/20,738333,428365,31365,365,31000,2183
Jashpur,CT,852043,14/06/20,435884,182747,27093,212,26867,2542
Koriya,CT,659039,14/06/20,375503,128177,26980,177,26798,2689
Balod,CT,826165,14/06/20,537459,271570,27278,396,26880,2749
Phek,NL,163294,11/12/20,31241,20746,601,18,568,2779
Kabeerdham,CT,584667,14/06/20,402362,173494,22771,267,22503,2829
Anjaw,AR,21089,28/01/21,11695,7957,1068,3,1065,2845
Jamtara,JH,790207,21/07/20,381155,137216,5599,61,5534,2880
Mungeli,CT,701707,14/06/20,282508,109857,23921,167,23753,2922
Bametara,CT,197035,14/06/20,405388,132925,19963,236,19726,3113
Kra Daadi,AR,6567,28/01/21,6275,3272,270,0,270,3218
Mayurbhanj,OR,2513895,17/05/20,1222153,413698,40844,286,40416,3307
Pakke Kessang,AR,6790,28/01/21,8004,4998,453,0,453,3327
Anuppur,MP,749521,19/09/20,481238,164712,9238,89,9140,3424
Dindori,MP,704218,08/07/20,481366,186341,4623,29,4588,3557
Baloda Bazar,CT,1305343,14/06/20,617777,211945,43085,471,42611,3816
Khunti,JH,530299,29/07/20,227503,107053,7820,96,7724,3852
Mokokchung,NL,193171,11/12/20,69198,54730,2333,54,2186,3976
Janjgir Champa,CT,1620632,14/06/20,896087,317605,57636,838,56766,4016
Kurung Kumey,AR,89717,28/01/21,9121,5601,511,1,510,4201
Siang,AR,31920,28/01/21,14408,9068,411,3,408,4270
Chitradurga,KA,1660378,28/06/20,1020280,618156,36666,206,36412,4393
Bastar,CT,1302253,23/05/20,443759,178775,21066,188,20845,4522
Sidhi,MP,1126515,26/07/20,679862,226632,9219,87,9132,4660
Tuensang,NL,414801,11/12/20,38130,26725,1094,12,1077,4887
Durg,CT,3343079,14/06/20,1012391,525445,96880,1798,95028,5020
Sahibganj,JH,1150038,23/07/20,430948,132560,4834,42,4792,5029
Chamarajanagara,KA,1020962,28/06/20,647951,351940,33001,500,32469,5156
Dumka,JH,1321096,23/07/20,638722,229944,4636,47,4589,5400
Chikkamagaluru,KA,1137753,28/06/20,737417,346002,51126,395,50662,5467
Peren,NL,163294,11/12/20,19956,12514,920,6,897,5717
Cuttack,OR,2618708,17/05/20,1434524,702278,94631,857,93404,5720
Upper Subansiri,AR,83205,28/01/21,24842,16390,1958,6,1952,6217
Pakur,JH,899200,23/07/20,378048,108941,2552,12,2539,6429
Upper Siang,AR,35289,28/01/21,18594,13671,1016,1,1015,6564
Kinnaur,HP,84298,19/12/20,79673,63209,3507,38,3465,6730
Lepa Rada,AR,13769,28/01/21,13328,10176,874,3,871,6747
Hingoli,MH,1178973,03/08/20,537442,201000,18475,506,17949,6797
Deoghar,JH,1491879,23/07/20,569167,230458,10835,113,10721,6951
Lower Siang,AR,80597,28/01/21,16565,9990,738,8,730,7070
East Kameng,AR,78413,28/01/21,22931,15646,1094,0,1094,7489
Lohardaga,JH,461738,25/07/20,173109,63130,6709,88,6621,7526
Perambalur,TN,564511,23/07/20,326872,136491,12067,243,11790,7981
Diu,DN,52074,20/10/20,38779,31153,1218,0,1218,8259
Koppal,KA,1391292,28/06/20,814373,411092,35198,521,34660,8708
Gadag,KA,1065235,28/06/20,691646,328477,26066,319,25747,8904
Balaghat,MP,1701156,19/08/20,1278183,549643,9100,64,9017,9654
Balasore,OR,2317419,17/05/20,1351099,534318,40787,299,40389,9843
Korba,CT,1206563,14/06/20,650457,287588,54847,580,54228,10034
Longding,AR,60000,28/01/21,19259,7826,752,2,749,10342
Lower Subansiri,AR,82839,28/01/21,26916,18827,3036,15,3015,10564
Hassan,KA,1776221,28/06/20,1224599,614828,111785,1256,110294,10800
Godda,JH,1311382,23/07/20,527710,198198,5840,87,5753,10980
Ahmednagar,MH,4543083,19/07/20,2468837,881402,339457,7043,330122,11077
Giridih,JH,2445203,23/07/20,994417,301193,8964,130,8834,11132
Jind,HR,1332042,13/07/20,704573,250859,21209,533,20675,11157
Kaithal,HR,1072861,13/07/20,615168,217439,11244,346,10898,11687
Haveri,KA,1598506,28/06/20,999178,383705,21947,644,21301,11714
Bokaro,JH,2061918,23/07/20,994497,333330,19461,286,19170,11798
Aurangabad,MH,3695928,30/05/20,1772420,723304,155331,4251,150615,11800
