state,yr,mnth,daily_confirmed,total_confirmed,daily_recovered,total_recovered,daily_tested,total_tested,daily_deceased,total_deceased,daily_vaccinated1,total_vaccinated1,daily_vaccinated2,total_vaccinated2
AN,2020,March,10,10,0,0,0,0,0,0,0,0,0,0
AN,2020,April,23,33,16,16,2848,2848,0,0,0,0,0,0
AN,2020,May,0,33,17,33,4858,7706,0,0,0,0,0,0
AN,2020,June,64,97,12,45,8003,15709,0,0,0,0,0,0
AN,2020,July,451,548,169,214,8329,24038,5,5,0,0,0,0
AN,2020,August,2584,3132,2433,2647,9447,33485,41,46,0,0,0,0
AN,2020,September,703,3835,961,3608,25278,58763,7,53,0,0,0,0
AN,2020,October,497,4332,492,4100,29690,88453,6,59,0,0,0,0
AN,2020,November,378,4710,450,4550,40936,129389,2,61,0,0,0,0
AN,2020,December,235,4945,276,4826,52251,181640,1,62,0,0,0,0
AN,2021,January,49,4994,102,4928,41497,223137,0,62,2727,2727,0,0
AN,2021,February,26,5020,24,4952,45362,268499,0,62,3407,6134,2422,2422
AN,2021,March,63,5083,24,4976,51365,319864,0,62,10346,16480,3186,5608
AN,2021,April,866,5949,725,5701,51032,370896,5,67,77013,93493,5273,10881
AN,2021,May,1056,7005,1018,6719,15717,386613,48,115,15591,109084,4300,15181
AN,2021,June,462,7467,589,7308,23277,409890,13,128,47386,156470,4642,19823
AN,2021,July,70,7537,92,7400,30980,440870,1,129,53226,209696,71739,91562
AN,2021,August,29,7566,31,7431,49782,490652,0,129,47799,257495,14240,105802
AN,2021,September,55,7621,52,7483,61501,552153,0,129,32233,289728,47412,153214
AN,2021,October,30,7651,35,7518,45880,598033,0,129,4273,294001,46943,200157
AP,2020,March,44,44,1,1,0,0,0,0,0,0,0,0
AP,2020,April,1359,1403,320,321,94558,94558,31,31,0,0,0,0
AP,2020,May,2168,3571,2019,2340,278190,372748,31,62,0,0,0,0
AP,2020,June,11024,14595,4171,6511,517442,890190,125,187,0,0,0,0
AP,2020,July,126338,140933,57353,63864,1061586,1951776,1162,1349,0,0,0,0
AP,2020,August,293838,434771,266662,330526,1771136,3722912,2620,3969,0,0,0,0
AP,2020,September,258713,693484,298685,629211,2083646,5806558,1859,5828,0,0,0,0
AP,2020,October,129864,823348,162872,792083,2222347,8028905,862,6690,0,0,0,0
