yr,mnth,weeknumber,confirmed,deceased,recovered,tested
2020,January,5,1,0,0,0
2020,February,1,2,0,0,0
2020,February,2,0,0,3,0
2020,March,1,31,0,0,0
2020,March,2,68,1,0,0
2020,March,3,232,0,1,0
2020,March,4,685,2,4,0
2020,March,5,616,44,152,0
2020,April,1,3715,114,309,94741
2020,April,2,6135,235,896,140895
2020,April,3,8596,250,2611,271532
2020,April,4,11279,362,3763,363632
2020,April,5,3507,146,1320,132452
2020,May,1,21485,735,7717,522084
2020,May,2,25696,760,11235,619803
2020,May,3,34773,935,20542,790323
2020,May,4,44204,1126,22343,861679
2020,May,5,24132,695,20966,454284
2020,June,1,63714,1800,31987,1059079
2020,June,2,76731,2316,45836,1129522
2020,June,3,92172,4182,67575,1388921
2020,June,4,123584,2784,84519,1620550
2020,June,5,37429,923,26062,466555
2020,July,1,159673,3244,109208,1926916
2020,July,2,196910,3652,136043,2214921
2020,July,3,258700,4455,159203,2776479
2020,July,4,338051,5471,236389,3422218
2020,July,5,164933,2324,106865,1827856
2020,August,1,389813,6023,332124,4326796
2020,August,2,438358,6555,379887,5464372
2020,August,3,448147,6796,413243,5839398
2020,August,4,487864,6786,426739,6700801
2020,August,5,226706,2719,189839,3106794
2020,September,1,589645,7380,484048,7666986
2020,September,2,649351,7995,534848,7924842
2020,September,3,633179,8157,638471,8164129
2020,September,4,582901,7384,603843,8562986
2020,September,5,167248,2357,171424,2634317
2020,October,1,522727,6846,554453,7917857
2020,October,2,472100,5757,555988,8228568
2020,October,3,400275,5340,491550,7876453
2020,October,4,333918,3919,442033,7511271
2020,October,5,144110,1581,175554,3440970
2020,November,1,323810,4012,377698,7870012
2020,November,2,307731,3512,336548,7649612
2020,November,3,280973,3588,316200,6942787
2020,November,4,297131,3470,281122,8343374
2020,November,5,70215,926,87434,2346544
2020,December,1,240680,3337,289722,8197238
2020,December,2,202723,2751,243623,7749078
2020,December,3,168771,2400,213725,7772678
2020,December,4,149369,2043,171102,7221543
2020,December,5,61513,828,74965,3309006
2021,January,1,127763,1588,154961,6999250
2021,January,2,114435,1348,125519,6832961
2021,January,3,97715,1114,120685,6032848
2021,January,4,94750,979,110265,5612569
2021,January,5,37654,381,40845,2428350
2021,February,1,80472,690,99323,5533785
2021,February,2,77379,651,86011,5480079
2021,February,3,88891,653,77913,5042437
2021,February,4,106686,772,87314,5504680
2021,March,1,117215,696,96312,5684261
2021,March,2,155887,872,124565,5631211
2021,March,3,260561,1241,143880,6739545
2021,March,4,393493,1878,204521,7749405
2021,March,5,181504,1079,118654,2851162
2021,April,1,705360,3932,376413,9193277
2021,April,2,1145099,6261,577282,11504453
2021,April,3,1853965,11519,1023304,12851058
2021,April,4,2443268,20140,1632826,14247605
2021,April,5,788787,7027,590925,4314158
2021,May,1,2735087,26468,2252042,14664870
2021,May,2,2480202,27935,2501381,14370265
2021,May,3,1915589,29318,2637025,14818505
2021,May,4,1440248,26975,2118780,15569064
2021,May,5,445561,9376,757272,6286370
2021,June,1,821575,19425,1394168,15191420
2021,June,2,574627,25726,939006,14686610
2021,June,3,406983,12270,645798,14245266
2021,June,4,338990,8336,440517,14030611
2021,June,5,94710,1821,122602,4073755
2021,July,1,297836,5570,354679,13858984
2021,July,2,278203,6960,299967,13775434
2021,July,3,270036,7002,285424,13857025
2021,July,4,269785,3673,272224,13787013
2021,July,5,128113,1689,118922,6132751
2021,August,1,278819,3509,279040,14182812
2021,August,2,258407,3361,276368,13473845
2021,August,3,231582,3146,260538,12593187
2021,August,4,270502,3461,252131,12631413
2021,August,5,116695,1194,105195,5072182
2021,September,1,284709,2389,270234,12631147
2021,September,2,220072,2085,258081,11944914
2021,September,3,214565,2273,261573,11301847
2021,September,4,184959,1980,202397,11244001
2021,September,5,50451,591,56930,3248545
2021,October,1,148975,1789,182097,10102955
2021,October,2,122207,1686,156844,9403874
2021,October,3,105797,1229,132348,8409109
2021,October,4,103069,4147,113133,9161234
2021,October,5,40062,1247,41373,4537901
,,,,,,
Total,,,34285612,458470,33661339,654372857
